"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2021",59.828,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2021",212.976,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2021",87.298,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2021",18.093,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2021",134.935,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2021",0.961,"U",,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2021",8.565,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2021",25.917,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2021",21.451,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2021",146.514,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2021",231.788,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2021",6.326,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2021",119.348,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2021",32.298,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2021",15.275,,,,"R1:3513"
