"ref_area","source","indicator","sex","time","obs_value","obs_status","note_indicator","note_source"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_F","2019",37.71,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_T","2018",38.07,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_M","2018",39.98,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_F","2018",36.91,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_T","2017",37.15,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_M","2017",38.89,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_F","2017",36.08,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_T","2016",36.46,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_M","2016",38.38,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_F","2016",35.3,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_T","2015",36.13,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_M","2015",37.98,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_F","2015",34.98,,"T30:69","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_T","2022",55.31,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_M","2022",58.58,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_F","2022",52.66,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_T","2021",52.28,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_M","2021",55.29,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_F","2021",49.84,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_T","2020",53.84,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_M","2020",54.58,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_F","2020",53.26,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_T","2019",51.53,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_M","2019",56.09,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_F","2019",47.91,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_T","2018",53.77,,"T30:396","R1:3513"
"CHE","BA:253","EAR_HUBL_SEX_NB","SEX_M","2018",57.23,,"T30:396","R1:3513"
