"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2017",1.22,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2017",667.8,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2017",3.99,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2017",1.38,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2017",523.73,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2017",3.13,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2017",1.08,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2016",609.32,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2016",3.51,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2016",1.27,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2016",665.74,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2016",3.83,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2016",1.39,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2016",568.46,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2016",3.27,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2016",1.18,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2015",576.6,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2015",3.1,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2015",1.21,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2015",649.85,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2015",3.5,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2015",1.36,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2015",521.51,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2015",2.81,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2015",1.09,,"T30:111","R1:3513_T3:240"
"BGD","BA:673","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2017",107.34,,"T30:114","R1:3513"
"BGD","BA:673","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2017",3.64,,"T30:114","R1:3513"
"BGD","BA:673","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2017",1.33,,"T30:114","R1:3513"
"BGD","BA:673","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2017",110.53,,"T30:114","R1:3513"
"BGD","BA:673","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2017",3.75,,"T30:114","R1:3513"
"BGD","BA:673","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2017",1.37,,"T30:114","R1:3513"
"BGD","BA:673","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2017",98.69,,"T30:114","R1:3513"
"BGD","BA:673","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2017",3.34,,"T30:114","R1:3513"
"BGD","BA:673","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2017",1.23,,"T30:114","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2023",10.3,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2023",13.53,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2023",5.7,"P","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2023",10.48,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2023",13.77,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2023",5.8,"P","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2023",10.05,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2023",13.21,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2023",5.56,"P","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2022",9.23,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2022",11.47,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2022",4.96,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2022",9.27,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2022",11.53,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2022",4.99,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2022",9.16,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2022",11.39,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2022",4.93,,"I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2021",8.83,,"I11:264_T30:164","R1:3513"
